name,platforms,genres,publishers
Card Wars - Adventure Time Card Game,iOS,Strategy||Card,Turner Broadcasting System
Gangstar: West Coast Hustle,iOS||Android,Action||Shooter,Gameloft
Team17 Variety Pack,Xbox One||PlayStation 4,,Team17 Digital
Nebulous,PC||macOS||Xbox One||PlayStation 4,Action||Casual||Indie,Namazu Studios
Air Guitar Warrior for Kinect,Xbox One,,Virtual Air Guitar Company
"Doodle God, Doodle Devil & Doodle Kingdom",PlayStation 3||PlayStation 4||PS Vita,,
Super GunWorld 2,PC||Xbox One||PlayStation 4,Action||Adventure||RPG||Indie,m07games
THE ONION KNIGHTS,iOS||PC||PlayStation 4,Action||Strategy||Arcade||Casual,Insel Games||THEM||themcorporation
Stellar Horizon,iOS,Action||Adventure||Simulation,Sylvain MARSAULT
VR Ping Pong,PC||PlayStation 4,Simulation||Sports||Casual||Indie,Merge Games||IV Productions
THE KING OF FIGHTERS-i 2012,Android||iOS,Action||Arcade||Casual,SNK
Trenches,iOS,Action||Strategy,Catapult Consulting
Pocket Army,Android||iOS,Action||Adventure||RPG||Strategy,Pine Entertainment Company||Topebox Co
NARUTO SHIPPUDEN: Ultimate Ninja STORM 4 ROAD TO BORUTO,Nintendo Switch||Xbox One||PlayStation 4,Fighting,Bandai Namco Entertainment
Rogue Runner,iOS,Action||Arcade,Glowdot Productions
Hero Emblems,iOS,RPG||Puzzle,HeatPot Games
DEXED,PC||PlayStation 4,Action,Ninja Theory
BattleLand：Warrior vs Monster HD,iOS,RPG||Board Games,KongZhong
PlunderNauts,iOS,Action||Arcade,Backflip Studios
Divide,PC||PlayStation 4,Action||Adventure||Indie,Exploding Tuba Studios
Armada - Galactic War Online,iOS,Action||Strategy,Pixel Stream
Outwitters,Android||iOS,Strategy||Board Games,One Man Left
Geki Yaba Runner,PS Vita,Action,
Spellcraft - Collectable Card Game - Best CCG,iOS,Strategy||Card,Three Goblins
Siralim (RPG / Roguelike),iOS,RPG||Strategy,Thylacine Studios
Galaxy on Fire,iOS,Adventure||RPG,FISHLABS
Radiation Island,iOS||Android||PC||macOS||Nintendo Switch,Action||Adventure||Indie,Atypical Games
Pocket Mine 2,Android||iOS,Action||Arcade,Roofdog Games
Saban's Mighty Morphin Power Rangers: Mega Battle,PlayStation 4,Action||Adventure,
Table Top Racing: Swag Bag,PlayStation 4,,
Double Dragon IV,Xbox One||PC||iOS||Nintendo Switch||PlayStation 4,Action,DotEmu||Arc System Works||Arc System Works Co.
Meltdown©,Android||iOS,Action||Arcade,
ACA NEOGEO WORLD HEROES,Xbox One||PlayStation 4||Nintendo Switch,Arcade,HAMSTER||Co.
Great Little War Game HD Lite,iOS,RPG||Strategy,Rubicon Mobile
MXGP2 - The Official Motocross Videogame Compact,PC||PlayStation 4,Simulation||Sports||Racing,Milestone
Great Little War Game,Android||iOS,RPG||Strategy,Rubicon Mobile
Great Little War Game HD,iOS,RPG||Strategy,Rubicon Mobile
Valentino Rossi The Game Compact,PC||PlayStation 4,Simulation||Sports||Racing,Milestone
circuit_strike.one,iOS,Action||Arcade,h.grenade games
Gems of War – Match 3 RPG,iOS,RPG||Puzzle,505 Games
Hunter's Legacy,macOS||PC||Xbox One||PlayStation 4,Action||Adventure||Indie,Lienzo
Horizon Chase - World Tour,Android||iOS,Sports||Racing,Aquiris Game Studio||Aquiris Realidade Virtual LTDA
Defender Chronicles II: Heroes of Athelia,iOS,RPG||Strategy,Gimka Entertainment
Bladeslinger Ep.1,iOS,Action||Adventure,Kerosene
Rush Rally 2,iOS||Android,Simulation||Sports||Racing,Brownmonster||Stephen Brown
Dungeon Story,iOS,RPG||Puzzle,Pantazis Deligiannis
Phoenix II,iOS,Action||Arcade,Firi Games
Battle Academy,PC||iOS||Xbox 360,Strategy||Simulation||Board Games||Educational,Slitherine
Call of Duty: Black Ops Zombies,iOS||Android,Action||Adventure,Activision Blizzard
Order & Chaos 2: 3D MMO RPG Online Game,iOS,Adventure||RPG,Gameloft
Kingdom Rush Frontiers HD,iOS||macOS,Action||Strategy,Ironhide
Deep Loot,Android||iOS,Action||Adventure,Monster and Monster
Atelier Shallie Plus: Alchemists of the Dusk Sea,PS Vita,RPG,
Dungeon Hunter 3,iOS,RPG||Arcade,Gameloft
Cavern,iOS,Adventure||RPG,Sami Sierla
Mega Jump,iOS,Action||Arcade,Get Set Games
Fate/EXTELLA: The Umbral Star,Nintendo Switch||PlayStation 4,Action,XSEED Games||Marvelous USA||Marvelous Entertainment||USA
Lost Portal CCG,iOS,RPG||Card,Michael Camilli
Instant Indie Collection: Vol. 4,Xbox One||PlayStation 4,,Curve Digital
Joe's Diner,macOS||Linux||PC||Wii U||PlayStation 4,Action||Adventure||Indie,United Independent Entertainment||Joindots
Man at Arms TD: Pocket Edition,iOS,Strategy||Arcade,Inert Soap
Dark Meadow,iOS,Action||Adventure,Phosphor Games
Life of Black Tiger,PlayStation 4,,
Teeny Titans - Teen Titans Go! Figure Battles,iOS,RPG||Strategy,Turner Broadcasting System
Neuroshima Hex,iOS||Android,Strategy||Board Games,"Big Daddy's Creations, Wspolnik||Portal Games sp zoo"
Silverfish,iOS,Action||Arcade,Frank Condello
Siegecraft Commander,macOS||PC||Xbox One||PlayStation 4||Nintendo Switch,Action||Strategy,Blowfish Studios||Level 77
Legendary Wars,iOS,RPG||Strategy,Liv Games
Dungeon Hunter 5 - Multiplayer RPG on iOS,iOS,Action||RPG,Gameloft
Supermagical,PC||PS Vita,Adventure||RPG||Casual||Indie||Puzzle,Super Awesome Hyper Dimensional Mega Team
Block Fortress: War,iOS||Android||macOS,Action||Strategy,Foursaken Media
Sylvio,macOS||PC||Xbox One||PlayStation 4,Adventure||Indie,Stroboskop
Soosiz,iOS,Action||Adventure,Ville Makynen
ACA NEOGEO FATAL FURY,Xbox One||Nintendo Switch||PlayStation 4,Fighting,HAMSTER||Co.
Slayin,Android||iOS,RPG||Arcade||Casual,FDG Mobile Games GbR
Planet 2000,PC||PlayStation 4,Action||Strategy||Casual||Indie,Bionic Pony
RAGE HD,iOS,Action||Adventure,id Software
ZENFORMS: Protectors,iOS,Adventure||RPG,Stephen McVicker
ACA NEOGEO ALPHA MISSION II,Xbox One||Nintendo Switch||PlayStation 4,Shooter,HAMSTER||Co.
Shark Eaters: Rise of the Dolphins,iOS,Action||Simulation,Max and Haley
BATTLE BEARS -1,iOS,Action||Adventure,BATTLE BEARS||SkyVu
League of Evil 2,iOS,Action||Arcade,Ravenous Games
Dragon Era - Slots RPG Card Battle,iOS,RPG,Playmage International Co
ZENONIA 4,iOS||Android,Adventure||RPG||Arcade,GAMEVIL USA||GAMEVIL
Skylight Freerange 2: Gachduine,PlayStation 4||PS Vita,RPG,
iBlast Moki,Android||iOS,Action||Puzzle,Godzilab
Inotia 4,iOS||Android,Adventure||RPG,Com2uS||Com2uS USA
Spheroids,PC||Xbox One||Wii U||PlayStation 4||PS Vita||Nintendo Switch,Action||Adventure||Indie,Eclipse Games
King Cashing 2,iOS,RPG,Productions Multimage
DEATHSMILES LITE,iOS,Action||Arcade||Casual,CAVE Co
Xenoraid,iOS||Android||Xbox One||PS Vita||PlayStation 4||Nintendo Switch,Action||Arcade||Casual,10tons
Peggle Classic,iOS,Arcade||Puzzle,PopCap
N.Y.Zombies 2,iOS||Android||macOS,Action||Adventure,Foursaken Media
EVE: Valkyrie,PC||PlayStation 4,Action,CCP
2013: Infected Wars,iOS||PS Vita,Action||Shooter||Adventure,Action Mobile
Epic Island,iOS,Adventure||RPG,Backflip Studios
Call of Duty: Infinite Warfare + Destiny - The Collection,Xbox One||PlayStation 4,,Activision Blizzard
Wanderjahr,PC||PlayStation 4||PS Vita,RPG,Workyrie Game Studio
Ground Effect Lite,iOS,Racing||Arcade,Glenn Corpes
Air Race Speed,iOS||PS Vita,Action||Racing,QubicGames
Super Mega Worm,iOS||Android||macOS,Adventure||Arcade||Casual,Deceased Pixel
Galactic Keep,iOS||PC||macOS,RPG||Strategy||Simulation,Black Shell Media||Gilded Skull Games
FU'UN SUPER COMBO,PlayStation 4,Fighting,
Wheeler's Treasure,iOS,Adventure||RPG,Two Lives Left
Infinite Warrior,iOS,Action||RPG,Empty Flask Games
MARVEL Avengers Academy,Android||iOS,Adventure||Simulation,TinyCo
Tiny Heroes,iOS,Action||Strategy,Simutronics
